ppd_id,filename,size_bytes
10,CALSTRS_InvPolStmt_Nov2021_10.pdf.pdf,420838
10,CaliforniaPERF_InvPolStmt_2019_9.pdf.pdf,1983238
26,FL_FL-FRS_CAFR_2001_26.pdf.pdf,2637360
26,FL_FL-FRS_CAFR_2002_26.pdf.pdf,1018048
26,FL_FL-FRS_CAFR_2003_26.pdf.pdf,2806634
26,FL_FL-FRS_CAFR_2004_26.pdf.pdf,1130413
26,FL_FL-FRS_CAFR_2005_26.pdf.pdf,1023609
26,FL_FL-FRS_CAFR_2006_26.pdf.pdf,3528989
26,FL_FL-FRS_CAFR_2007_26.pdf.pdf,2774715
26,FL_FL-FRS_CAFR_2008_26.pdf.pdf,6466909
26,FL_FL-FRS_CAFR_2009_26.pdf.pdf,3770499
26,FL_FL-FRS_CAFR_2010_26.pdf.pdf,8446806
26,FL_FL-FRS_CAFR_2011_26.pdf.pdf,5164903
26,FL_FL-FRS_CAFR_2012_26.pdf.pdf,3318264
26,FL_FL-FRS_CAFR_2013_26.pdf.pdf,12745340
26,FL_FL-FRS_CAFR_2014_26.pdf.pdf,6305049
26,FL_FL-FRS_CAFR_2015_26.pdf.pdf,6213077
26,FL_FL-FRS_CAFR_2016_26.pdf.pdf,5427376
26,FL_FL-FRS_CAFR_2017_26.pdf.pdf,3697984
26,FL_FL-FRS_CAFR_2018_26.pdf.pdf,7000347
26,FL_FL-FRS_CAFR_2019_26.pdf.pdf,11746851
26,FL_FL-FRS_CAFR_2020_26.pdf.pdf,18303776
26,FL_FL-FRS_ACFR_2021_26.pdf.pdf,7793032
26,FL_FL-FRS_ACFR_2022_26.pdf.pdf,30065832
26,2004_air.pdf,4510398
26,2005_air.pdf,2326312
26,2006_air.pdf,2902282
26,2007_air.pdf,3386327
26,2008_air.pdf,2683693
26,2009_air.pdf,2064412
26,2010_air.pdf,2742080
26,2011_air.pdf,4343100
26,2012_air.pdf,1868807
26,2013_air.pdf,5967546
26,2014_air.pdf,6524318
26,2015_air.pdf,8805108
26,2016_air.pdf,6019162
26,2017_air.pdf,8786019
26,2018_air.pdf,10237266
26,2019_air.pdf,16527476
26,2020_air.pdf,7693602
26,FloridaRS_InvPolStmt_Aug2003_26.pdf.pdf,415159
26,FloridaRS_InvPolStmt_May2007_26.pdf.pdf,435898
26,FloridaRS_InvPolStmt_Dec2008_26.pdf.pdf,468684
26,FloridaRS_InvPolStmt_Jun2010_26.pdf.pdf,437293
26,FloridaRS_InvPolStmt_June2011_26.pdf.pdf,569037
26,FloridaRS_InvPolStmt_Feb2012_26.pdf.pdf,550574
26,FloridaRS_InvPolStmt_Aug2013_26.pdf.pdf,546915
26,FloridaRS_InvPolStmt_Jul2014_26.pdf.pdf,587283
26,FloridaRS_InvPolStmt_Jan2015_26.pdf.pdf,588219
26,FloridaRS_InvPolStmt_Oct2017_26.pdf.pdf,597779
26,FloridaRS_InvPolStmt_Jun2018_26.pdf.pdf,5149891
78,NY_NY-NYSTRS_CAFR_2001_78.pdf.pdf,1632510
78,NY_NY-NYSTRS_CAFR_2002_78.pdf.pdf,676462
78,NY_NY-NYSTRS_CAFR_2003_78.pdf.pdf,1042219
78,NY_NY-NYSTRS_CAFR_2004_78.pdf.pdf,1608033
78,NY_NY-NYSTRS_CAFR_2005_78.pdf.pdf,3327173
78,NY_NY-NYSTRS_CAFR_2006_78.pdf.pdf,2220389
78,NY_NY-NYSTRS_CAFR_2007_78.pdf.pdf,3066281
78,NY_NY-NYSTRS_CAFR_2008_78.pdf.pdf,2715584
78,NY_NY-NYSTRS_CAFR_2009_78.pdf.pdf,5605704
78,NY_NY-NYSTRS_CAFR_2010_78.pdf.pdf,8058942
78,NY_NY-NYSTRS_CAFR_2011_78.pdf.pdf,2625644
78,NY_NY-NYSTRS_CAFR_2012_78.pdf.pdf,1543279
78,NY_NY-NYSTRS_CAFR_2013_78.pdf.pdf,1470291
78,NY_NY-NYSTRS_CAFR_2014_78.pdf.pdf,1334752
78,NY_NY-NYSTRS_CAFR_2015_78.pdf.pdf,4306247
78,NY_NY-NYSTRS_CAFR_2016_78.pdf.pdf,5117544
78,NY_NY-NYSTRS_CAFR_2017_78.pdf.pdf,5207819
78,NY_NY-NYSTRS_CAFR_2018_78.pdf.pdf,3622649
78,NY_NY-NYSTRS_CAFR_2019_78.pdf.pdf,1911664
78,NY_NY-NYSTRS_CAFR_2020_78.pdf.pdf,2485475
78,NY_NY-NYSTRS_CAFR_2021_78.pdf.pdf,3607885
78,NY_NY-NYSTRS_CAFR_2022_78.pdf.pdf,24375445
78,NY_NY-NYSTRS_AV_2001_78.pdf.pdf,2697975
78,NY_NY-NYSTRS_AV_2002_78.pdf.pdf,2866387
78,NY_NY-NYSTRS_AV_2003_78.pdf.pdf,2650081
78,NY_NY-NYSTRS_AV_2004_78.pdf.pdf,213052
78,NY_NY-NYSTRS_AV_2005_78.pdf.pdf,222517
78,NY_NY-NYSTRS_AV_2006_78.pdf.pdf,222097
78,NY_NY-NYSTRS_AV_2007_78.pdf.pdf,345609
78,NY_NY-NYSTRS_AV_2008_78.pdf.pdf,547318
78,NY_NY-NYSTRS_AV_2009_78.pdf.pdf,4416963
78,NY_NY-NYSTRS_AV_2010_78.pdf.pdf,441102
78,NY_NY-NYSTRS_AV_2011_78.pdf.pdf,409796
78,NY_NY-NYSTRS_AV_2012_78.pdf.pdf,899506
78,NY_NY-NYSTRS_AV_2013_78.pdf.pdf,1571947
78,NY_NY-NYSTRS_AV_2014_78.pdf.pdf,1228800
78,NY_NY-NYSTRS_AV_2014_78_GASB68.pdf.pdf,856329
78,NY_NY-NYSTRS_AV_2015_78.pdf.pdf,481666
78,NY_NY-NYSTRS_AV_2015_78_GASB68.pdf.pdf,761471
78,NY_NY-NYSTRS_AV_2016_78.pdf.pdf,1018351
78,NY_NY-NYSTRS_AV_2016_78_GASB68.pdf.pdf,744286
78,NY_NY-NYSTRS_AV_2017_78.pdf.pdf,1730330
78,NY_NY-NYSTRS_AV_2017_78_GASB68.pdf.pdf,732587
78,NY_NY-NYSTRS_AV_2018_78.pdf.pdf,1350132
78,NY_NY-NYSTRS_AV_2018_78_GASB68.pdf.pdf,810483
78,NY_NY-NYSTRS_AV_2019_78.pdf.pdf,1373837
78,NY_NY-NYSTRS_AV_2019_78_GASB68.pdf.pdf,312840
78,NY_NY-NYSTRS_AV_2020_78.pdf.pdf,1463702
78,NY_NY-NYSTRS_AV_2020_78_GASB68.pdf.pdf,421661
78,NY_NY-NYSTRS_AV_2021_78.pdf.pdf,1431545
